Well,Cq
F02,NaN
F03,NaN
F04,NaN
F05,NaN
F06,NaN
F07,NaN
F08,NaN
F09,NaN
F10,NaN
F11,NaN
F12,NaN
F13,NaN
F14,NaN
F15,NaN
F16,NaN
F17,NaN
F18,NaN
F19,NaN
F20,NaN
F21,NaN
F22,NaN
F23,NaN
F24,NaN
G01,NaN
G02,NaN
G03,NaN
G04,NaN
G05,NaN
G06,NaN
G07,NaN
G08,NaN
G09,NaN
G10,NaN
G11,NaN
G12,NaN
G13,NaN
G14,NaN
G15,NaN
G16,NaN
G17,NaN
G18,NaN
G19,NaN
G20,NaN
G21,NaN
G22,NaN
G23,NaN
G24,NaN
H01,NaN
H02,NaN
H03,NaN
H04,NaN
H05,NaN
H06,NaN
H07,NaN
H08,NaN
H09,NaN
H10,NaN
H11,NaN
H12,NaN
H13,NaN
H14,NaN
H15,NaN
H16,NaN
H17,NaN
H18,NaN
H19,NaN
H20,NaN
H21,NaN
H22,NaN
H23,NaN
H24,NaN
I01,NaN
I02,NaN
I03,NaN
I04,NaN
I05,NaN
I06,NaN
I07,NaN
I08,NaN
I09,NaN
I10,NaN
I11,NaN
I12,NaN
I13,NaN
I14,NaN
I15,NaN
I16,NaN
I17,NaN
I18,NaN
I19,NaN
I20,NaN
I21,NaN
I22,NaN
I23,NaN
I24,NaN
J01,NaN
J02,NaN
J03,NaN
J04,NaN
J05,NaN
J06,NaN
J07,NaN
J08,NaN
J09,NaN
J10,NaN
J11,NaN
J12,NaN
J13,NaN
J14,NaN
J15,NaN
J16,NaN
J17,NaN
J18,NaN
J19,NaN
J20,NaN
J21,NaN
J22,NaN
J23,NaN
J24,NaN
K01,NaN
K02,NaN
K03,NaN
K04,NaN
K05,NaN
K06,NaN
K07,NaN
K08,NaN
K09,NaN
K10,NaN
K11,NaN
K12,NaN
K13,NaN
K14,NaN
K15,NaN
K16,NaN
K17,NaN
K18,NaN
K19,NaN
K20,NaN
K21,NaN
K22,NaN
K23,NaN
K24,NaN
L01,NaN
L02,NaN
L03,NaN
L04,NaN
L05,NaN
L06,NaN
L07,NaN
L08,NaN
L09,NaN
L10,NaN
L11,NaN
L12,NaN
L13,NaN
L14,NaN
L15,NaN
L16,NaN
L17,NaN
L18,NaN
L19,NaN
L20,NaN
L21,NaN
L22,NaN
L23,NaN
L24,NaN
M01,NaN
M02,NaN
M03,NaN
M04,NaN
M05,NaN
M06,NaN
M07,NaN
M08,NaN
M09,NaN
M10,NaN
M11,NaN
M12,NaN
M13,NaN
M14,NaN
M15,NaN
M16,NaN
M17,NaN
M18,NaN
M19,NaN
M20,NaN
M21,NaN
M22,NaN
M23,NaN
M24,NaN
N01,NaN
N02,NaN
N03,NaN
N04,NaN
N05,NaN
N06,NaN
N07,NaN
N08,NaN
N09,NaN
N10,NaN
N11,NaN
N12,NaN
N13,NaN
N14,NaN
N15,NaN
N16,NaN
N17,NaN
N18,NaN
N19,NaN
N20,NaN
N21,NaN
N22,NaN
N23,NaN
N24,NaN
O01,NaN
O02,NaN
O03,NaN
O04,NaN
O05,NaN
O06,NaN
O07,NaN
O08,NaN
O09,NaN
O10,NaN
O11,NaN
O12,NaN
O13,NaN
O14,NaN
O15,NaN
O16,NaN
O17,NaN
O18,NaN
O19,NaN
O20,NaN
O21,NaN
O22,NaN
O23,NaN
O24,NaN
P01,NaN
P02,NaN
P03,NaN
P04,NaN
P05,NaN
P06,NaN
P07,NaN
P08,NaN
P09,NaN
P10,NaN
P11,NaN
P12,NaN
P13,NaN
P14,NaN
P15,NaN
P16,NaN
P17,NaN
P18,NaN
P19,NaN
P20,NaN
P21,NaN
P22,NaN
P23,NaN
P24,NaN
